Topic,Tweet,Airline
Delays & Waiting,@united y not? You're the reason we're in Houston and not NYC tonight. It took the plane an hour to take off - no explanations or sorry.,United
Delays & Waiting,@united please send help ASAP to @KathrynSotelo on flight 5957 to Chicago seat 9c #Airlines http://t.co/9sKrLyrZ1O,United
Delays & Waiting,@united what is the problem with your flights to ny today,United
Delays & Waiting,@SouthwestAir why are yall trying to fly me to Chicago when I don't live there?! Send me home now!!!! Bullshit ass customer service,Southwest
Delays & Waiting,@JetBlue Are there really no flights from the Bay Area to Chicago anymore? Lame. So lame.,Delta
Delays & Waiting,@USAirways @PhilaCarService looks like a long trip from cancun to philly? 9 hours Late Flight? Seriously?,US Airways
Topic: boarding pass mobile board dis...,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp; I am stuck outside sec,United
Topic: boarding pass mobile board dis...,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.,United
Topic: boarding pass mobile board dis...,@united checked me in through security under the wrong name and given the wrong boarding pass. #AirlineSecurity,United
Topic: tsa precheck pre valid pass nu...,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,Virgin America
Topic: tsa precheck pre valid pass nu...,@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled,United
Topic: tsa precheck pre valid pass nu...,@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for,United
Topic: denver ready land 3875 3618 la...,"@united, this is the line in Denver to rebook due to weather issues. DO BETTER. http://t.co/tmccExYaaQ",United
Topic: denver ready land 3875 3618 la...,@united UA1731 - Denver to Austin...  Still on the ground...,United
Topic: denver ready land 3875 3618 la...,@united Back at the Denver airport and ready for round two today. Ready to get home!,United
Cancellations / Flights,"@united Beyond frustrated  Sked change = no seats, earlier departure and double layover.  Of course only seats are $$++.  Cust svc no help",United
Cancellations / Flights,"@united your first class is a joke, compared to all the others I have flown, don't ask for extra peanuts... That's NOT allowed! @AirCanada",United
Cancellations / Flights,@united I'm rebooked on a flight tomorrow even though I had 1st class seat orig I have a lousy coach seat,United
Customer Service,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",Virgin America
Customer Service,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,Virgin America
Customer Service,@united was trying to change a flight online but got an error can you help via DM?,United
Delays & Waiting,@united Can't beat the storm out of town if you wait to issue the policy until too Late Flight.  NWS issued storm warning already...,United
Delays & Waiting,@united just informed you don't reimburse for issues due to weather. this is why your flights keep getting Cancelled Flightled--Thor hates you,United
Delays & Waiting,"@SouthwestAir Completely understand Act of God weather-reLate Flightd Cancelled Flightlation, but 4 days without reimbursement of any kind is #unacceptable",Southwest
Customer Service,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service",United
Customer Service,@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.,United
Customer Service,"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN",United
Topic: cost dollars free comp spendin...,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,United
Topic: cost dollars free comp spendin...,@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight,United
Topic: cost dollars free comp spendin...,"@united you could give me free flights for life, and I'd still choose to purchase my tickets from a competitor.",United
Topic: credit 200 day creditwhats day...,@united it was credit from my last trip that never came in the mail!,United
Topic: credit 200 day creditwhats day...,@united 8 hours Late Flightr and I'm siting on another plane waiting to leave. I think a credit is in order for this terrible service!,United
Topic: credit 200 day creditwhats day...,"@united That's still one day over my visa expiring on June 9, which is why I booked my flight on that day.",United
Topic: supervisor he nd she blindside...,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor.""",United
Topic: supervisor he nd she blindside...,@united ...she said she would need to get a supervisor. While waiting for the supervisor she hung up on me.,United
Topic: supervisor he nd she blindside...,"@JetBlue appreciate the response but already spoke to a MCO and their response was ""There is nothing we can do"" idk if that's what you mean",Delta
Luggage Issues,"@united Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable.",United
Luggage Issues,"@JetBlue JFK T5 north check in. 3 bag drop ladies, 1 has been checking in someone for the entire time; another doing check ins too.",Delta
Luggage Issues,"@JetBlue Yep, still waiting for bags at #JFK. What's the holdup? Looks like we are the only flight that got in at this time..??",Delta
Topic: flt departure crew 1217 alan 3...,@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,United
Topic: flt departure crew 1217 alan 3...,@united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW. The flight crew has been terrific. Been 2 hours on the ground..😡...,United
Topic: flt departure crew 1217 alan 3...,@united flt. 4567 departure time has changed five times in the last 20 minutes. Why don't you figure out a solution and announce once?,United
Topic: invalid itineraries reservatio...,@united I am trying to make/change reservations and getting extremely frustrated!!! Giving up and trying another airline!!!,United
Topic: invalid itineraries reservatio...,@united you told me you changed my flight and im in the ottawa airport and AC cant find my reservation! Whats wrong with you,United
Topic: invalid itineraries reservatio...,"@JetBlue For one way, not letting me select TO city....strange...and now some fairs look ""normal"" ????",Delta
Topic: hear we andrew sma jp uncomfor...,“@united: @Darquenloveli We regret to hear this. Please let us know if you need assistance. ^KN” I was finally able to secure my seat. Thx,United
Topic: hear we andrew sma jp uncomfor...,“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” inconvience*,United
Topic: hear we andrew sma jp uncomfor...,“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” the service just hasn't been great.,United
Topic: characters 140 spaced paged la...,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.,United
Topic: characters 140 spaced paged la...,@united 132 characters does not cover my reasons I'm afraid,United
Topic: characters 140 spaced paged la...,"@united tried to and got through the whole 2,000 characters and I was not even done.",United
Delays & Waiting,@united thanks KP.  What's going on w/4840 tonight.  Bad update online and phone. Can't u give customers good info. Not waste their time?!,United
Delays & Waiting,@united 4840 WTF! Why can't you update your times in a timely manner? You've known the fight was more delayed! Ur service is awful! @CNN,United
Delays & Waiting,@united one hour after departure time and still no update!,United
Topic: app check online says caching ...,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,Virgin America
Topic: app check online says caching ...,@SouthwestAir Unable to check in my flight. It says my itinerary is ineligible for checkin online. Go to counter. Very inconvenient!!!,Southwest
Topic: app check online says caching ...,"@SouthwestAir can't checkin online for 2:00 flight tmrw fr. Cancun. ""Undefined error"" &amp; 800# not working.Family of 4 don't want Cgroup! Help",Southwest
Cancellations / Flights,"@SouthwestAir As a frequent traveler, I've never been treated so coldly &amp; had an airline offer nothing when my flight was Cancelled Flightled. #nolove",Southwest
Cancellations / Flights,"@SouthwestAir disappointed with customer service right now, my flight was only one Cancelled Flightled at my airport &amp; now I'm losing 2 days from trip",Southwest
Cancellations / Flights,"@USAirways disappointed with your toll free number. Terrible customer service, my flight has been Cancelled Flightled would like to get home",US Airways
Delays & Waiting,"@USAirways 167 minutes?  ""Im not trained in that"". Cmon. Can't you do better than that?",US Airways
Delays & Waiting,@USAirways 45 minutes and moved two feet in BZE. 👎 http://t.co/AwGjkjIIac,US Airways
Delays & Waiting,@USAirways 3hr30min right now...  any end in sight?,US Airways
